2020/09/27 - 00:00:01, 347, 302, 14
2020/09/28 - 00:00:02, 346, 302, 14
2020/09/29 - 00:00:01, 346, 303, 14
2020/09/30 - 00:00:01, 346, 305, 14
2020/10/01 - 00:00:01, 345, 304, 14
2020/10/02 - 00:00:01, 345, 304, 14
2020/10/03 - 00:00:01, 345, 304, 14
2020/10/04 - 00:00:01, 346, 303, 14
2020/10/05 - 00:00:01, 346, 303, 14
2020/10/06 - 00:00:01, 346, 304, 14
2020/10/07 - 00:00:01, 345, 304, 14
2020/10/08 - 00:00:01, 347, 308, 14
2020/10/09 - 00:00:01, 348, 310, 14
2020/10/10 - 00:00:01, 348, 310, 14
2020/10/11 - 00:00:01, 348, 310, 14
2020/10/12 - 00:00:01, 348, 310, 14
2020/10/13 - 00:00:01, 348, 312, 14
2020/10/14 - 00:00:01, 348, 316, 14
2020/10/15 - 00:00:01, 350, 317, 14
2020/10/16 - 00:00:01, 352, 318, 14
2020/10/17 - 00:00:01, 352, 318, 14
2020/10/18 - 00:00:01, 352, 318, 14
2020/10/19 - 00:00:01, 352, 318, 14
2020/10/20 - 00:00:01, 352, 318, 14
2020/10/21 - 00:00:01, 352, 318, 14
2020/10/22 - 00:00:01, 352, 318, 14
2020/10/23 - 00:00:01, 352, 318, 14
2020/10/24 - 00:00:01, 352, 318, 14
2020/10/25 - 00:00:01, 350, 317, 14
2020/10/26 - 00:00:01, 350, 317, 14
2020/10/27 - 00:00:01, 351, 318, 14
2020/10/28 - 00:00:01, 351, 320, 14
2020/10/29 - 00:00:01, 351, 321, 14
2020/10/30 - 00:00:01, 350, 321, 14
2020/10/31 - 00:00:01, 350, 321, 14
2020/11/01 - 00:00:01, 350, 321, 14
2020/11/02 - 00:00:01, 350, 321, 14
2020/11/03 - 00:00:01, 350, 320, 14
2020/11/04 - 00:00:01, 350, 320, 14
2020/11/05 - 00:00:01, 350, 321, 14
2020/11/06 - 00:00:01, 350, 321, 14
2020/11/07 - 00:00:01, 350, 322, 14
2020/11/08 - 00:00:01, 350, 322, 14
2020/11/09 - 00:00:01, 350, 322, 14
2020/11/10 - 00:00:01, 350, 322, 14
2020/11/11 - 00:00:01, 350, 322, 14
2020/11/12 - 00:00:02, 350, 322, 14
2020/11/13 - 00:00:01, 350, 323, 14
2020/11/14 - 00:00:01, 350, 323, 14
2020/11/15 - 00:00:02, 349, 323, 14
2020/11/16 - 00:00:01, 349, 323, 14
2020/11/17 - 00:00:01, 349, 323, 14
2020/11/18 - 00:00:02, 349, 323, 14
2020/11/19 - 00:00:01, 349, 323, 14
2020/11/20 - 00:00:01, 349, 323, 14
2020/11/21 - 00:00:02, 349, 323, 14
2020/11/22 - 00:00:01, 349, 323, 14
2020/11/23 - 00:00:01, 350, 325, 14
2020/11/24 - 00:00:02, 350, 325, 14
